id_song,date,points,lyrics
47,2021-07-21,50 points,"La rue, tu sais très bien quand t'abuses"
47,2021-09-18,30 points,T'es pas si bête
47,2022-01-19,40 points,Tes parents et ton frère ça aide
47,2022-09-03,40 points,De moi c'est quoi ton problème
47,2121-12-05,40 points,Drôle t'es pas si laide
48,2022-03-03,40 points,Je vais mieux quand je te vois
48,2022-09-04,30 points,Je veux rentrer chez moi
50,2020-01-01,50 points,Crise après crise j'arrive plus à être moi
50,2020-08-28,30 points,La suite on verra
50,2020-11-28,1000 €,Bon programme
50,2020-11-28,2000 €,La première à me suivre
50,2020-11-28,5000 €,Enfin surtout pour rentrer dans les soirées
50,2021-02-02,1000 €,Me suivre
50,2021-02-02,2000 €,Tout est devenu plus simple
50,2021-05-28,20 points,Seule au monde
50,2021-08-29,1000 €,Bars vides
50,2021-09-23,50 points,Quelques mois voilà je commence déjà à angoisser
50,2021-10-11,1000 €,très vite
50,2021-10-11,2000 €,pour rentrer dans les soirées
50,2021-10-11,5000 €,te sens comme la reine du monde
50,2021-12-22,20 points,À être moi
51,2021-01-05,30 points,Du temps dans tes bras
51,2022-04-13,30 points,Quand je pense à toi
52,2019-08-06,30 points,De suite je préfère pas
52,2020-07-23,1000 €,À moi
52,2020-12-30,30 points,Pas trop d'histoires
52,2021-04-27,1000 €,ta peau
52,2021-11-27,20 points,Ca m'apprendra
52,2021-12-10,50 points,Mais pas tout de suite je préfère pas
53,2020-01-10,1000 €,Mon brushing
53,2020-01-10,2000 €,Fait rater mon tram
53,2020-01-10,5000 €,Et coincée dans la porte automatique
53,2020-01-10,10000 €,Que je me suis dit qu'il était temps
53,2020-01-10,20000 €,"Cet écran que Murphy voulait ma peau, ce retrait est impossible pour cause de solde insuffisant"
53,2021-10-23,1000 €,en couille
53,2021-10-23,2000 €,qu'un plan drague
53,2021-10-23,5000 €,et coincée dans la porte automatique
53,2021-10-23,10000 €,que je me suis dit qu'il était temps
53,2022-04-19,30 points,Ses extraits de l'année
54,2020-01-30,30 points,Je m'en vais
54,2020-06-25,30 points,Dont on va parler
54,2020-08-08,1000 €,Ça sert
54,2020-08-08,2000 €,Les laisses tous indifférents
54,2020-10-24,50 points,Marcher naïve comme jamais loin des regards armés
54,2021-06-28,20 points,Loin du danger
54,2021-07-04,40 points,Tout et je m’en vais
54,2022-01-26,1000 €,fait bouger
54,2022-01-26,2000 €,à quoi ça sert
54,2022-01-26,5000 €,de moi dont on va parler
54,2022-01-26,10000 €,vais marcher naïve comme jamais loin des regards armés
55,2020-08-26,20 points,Tu me voulais
55,2020-11-21,40 points,Donne tort de pas vouloir m'aimer
55,2021-01-03,20 points,Me feras marcher
55,2021-01-07,1000 €,Pas lavée
55,2021-01-07,2000 €,Qui t'étaient dédiées
55,2021-01-07,5000 €,Peut-être mais au plus je ris
55,2021-01-07,10000 €,"Rêves, celle qui comblait tes nuits, celle à marier"
55,2021-01-07,20000 €,"Pourquoi même quand eux ils m'aiment, je te veux toi jusqu'à l'aube"
55,2022-01-14,30 points,Celle de tes rêves
56,2020-09-18,30 points,Peuvent parfois bien se terminer
56,2021-07-12,20 points,Pas trop accepté
56,2022-03-23,30 points,Pas ce qui te plaît
56,2022-05-01,1000 €,t'abîmer
57,2019-08-17,40 points,Pleine de sentiments l'ennui est inconditionnel
57,2019-09-21,50 points,Délaissé ça s'est passé après les soldes
57,2019-12-25,40 points,Le malaise des gens qui dansent
57,2020-04-25,50 points,Délaissé ça s'est passé après les soldes
57,2021-01-29,50 points,Délaissé ça s'est passé après les soldes
57,2021-03-05,20 points,Je l'aurai
57,2021-03-30,30 points,Des gens qui dansent
57,2021-05-10,40 points,Contraire une jeunesse pleine de sentiments
57,2021-08-22,30 points,Que tu es seul
57,2021-11-19,50 points,Je peux ressentir le malaise des gens qui dansent
57,2021-12-25,20 points,D'être heureux
57,2022-06-04,50 points,Délaissé ça s'est passé après les soldes
58,2018-12-21,20 points,Passer de toi
58,2019-02-05,20 points,À te retenir
58,2020-11-17,1000 €,Si fort
58,2021-02-07,1000 €,De toi
58,2021-02-07,2000 €,Dors dans ses bras
60,2016-05-01,1000 €,le désert
60,2016-05-01,2000 €,les jours d'avant
60,2018-04-08,1000 €,le désert
60,2018-04-08,2000 €,les jours d'avant
60,2019-07-24,1000 €,de vent
60,2020-12-22,20 points,Qui tu voudras
60,2021-07-20,30 points,Je serai ta route
60,2021-08-02,20 points,"lune, ton repère"
60,2021-09-06,50 points,Ta boussole vers les regrets froids des amants
60,2022-03-01,30 points,Tant qu'il faudra
64,2015-04-05,30 points,Deux fois tu as triché
64,2017-09-27,20 points,J'aurais compris
64,2018-05-28,20 points,Comme une enfant
64,2020-02-21,1000 €,De moi
64,2020-02-21,2000 €,Un peu comme une enfant
64,2021-07-10,30 points,Qui me l'ont dit
64,2021-07-19,10 points,D'importance
64,2022-01-01,40 points,La confiance que j'avais pour toi
65,2014-07-22,20 points,Toute la gamme
65,2017-04-10,30 points,Sur toute la gamme
65,2018-03-15,20 points,Toute la gamme
65,2018-05-07,10 points,Tendre douleur
65,2021-03-05,1000 €,Mon épaule
65,2021-03-19,20 points,Et tendre douleur
65,2021-10-15,1000 €,Tout drôle
65,2022-08-03,20 points,De la caresser
66,2017-03-28,20 points,Des au revoir
66,2020-04-03,10 points,Au revoir
66,2021-09-28,10 points,Le soir
70,2014-03-07,50 points,Un laxatif au lieu de prendre le train
70,2014-04-18,20 points,De la clarinette
70,2018-04-24,20 points,De la clarinette
70,2018-06-27,1000 €,Tu veux
70,2018-06-27,2000 €,Parce que ça me plaît
70,2019-09-04,40 points,Au lieu de prendre le train
70,2019-11-30,1000 €,Tu veux
70,2019-11-30,2000 €,Que ça me plaît
70,2019-11-30,5000 €,Vous ne pourriez plus vous en séparer
70,2019-11-30,10000 €,Mon bonhomme il est parti danser le jerk au Palladium
70,2019-11-30,20000 €,Vous aurez vingt ans Jules a dit quand on aime on a toujours vingt ans
70,2020-06-11,50 points,Si vous le connaissiez vous ne pourriez plus vous en séparer
70,2020-09-21,1000 €,Me plaît
70,2020-09-21,2000 €,Accordéon me fatigue Yvette
70,2020-09-21,5000 €,Au lieu de prendre le train
70,2020-09-21,10000 €,J'ai tué ma femme pourtant je l'aimais
70,2021-02-22,1000 €,Tu veux
70,2021-02-22,2000 €,Plutôt de la clarinette
70,2021-06-18,30 points,De prendre le train
70,2021-12-21,1000 €,Me plaît
70,2021-12-21,2000 €,Accordéon me fatigue Yvette
70,2021-12-21,5000 €, vous ne pourriez plus vous en séparer
70,2021-12-21,10000 €,À dix ans on regardait gros nounours à la télévision
70,2021-12-21,20000 €,On verrait des avions dans les couloirs du métro et Johnny Hallyday en cage à Médrano
70,2022-02-17,40 points,Vous ne pourriez plus vous en séparer
70,2022-03-28,30 points,Le jerk au Palladium
70,2022-04-28,50 points,À Nounours il a dit bonne nuit mon bonhomme
72,2015-06-19,20 points,Peur de moi
72,2018-07-28,30 points,J'ai peur de toi
72,2021-04-01,10 points,Sans toi
72,2021-10-11,20 points,Dans tes bras
73,2021-09-06,10 points,Nos problèmes
74,2021-05-17,1000 €,un râteau
75,2020-08-25,10 points,Peux plus
76,2013-02-21,20 points,C'est possible
76,2013-11-18,40 points,Quand sa vie part en étincelles
76,2014-04-21,50 points,Sans égale quand sa vie part en étincelles
76,2015-08-04,40 points,Disparaître sous les flammes de la jalousie
76,2015-08-24,30 points,Sa vie part en étincelles
76,2015-11-30,50 points,Bâti disparaître sous les flammes de la jalousie
76,2017-04-24,50 points,Une douleur sans égale quand sa vie part en étincelles
76,2017-09-26,20 points,C'est possible
76,2018-03-30,50 points,Sans égale quand sa vie part en étincelles
76,2018-07-27,50 points,Vendre mon âme au diable comme un criminel
76,2018-12-25,50 points,Bâti disparaître sous les flammes de la jalousie
76,2019-06-28,40 points,Quand sa vie part en étincelles
76,2020-07-21,40 points,Disparaître sous les flammes de la jalousie
76,2020-12-29,50 points,Douleur sans égale quand sa vie part en étincelles
76,2021-04-13,30 points,D'un amour invincible
76,2021-06-22,20 points,C'est possible
76,2021-12-10,40 points,Mon âme au diable comme un criminel
76,2022-02-25,50 points,Bâti disparaître sous les flammes de la jalousie
77,2014-01-13,50 points,La trace des rêves pour lesquels je vivais
77,2015-09-05,40 points,Les poser dans d'autres mains
77,2017-01-20,40 points,Et les poser dans d'autres mains
77,2017-09-20,40 points,Je t'aime seulement te garder
77,2018-08-18,20 points,De l'avenir
77,2019-11-28,50 points,Ses doutes et les poser dans d'autres mains
77,2020-01-01,30 points,Te dire je t'aime
77,2020-07-18,50 points,Ses doutes et les poser dans d'autres mains
77,2020-08-09,40 points,Des rêves pour lesquels je vivais
77,2020-10-30,40 points,Su te dire je t'aime
77,2020-11-04,30 points,Se rapprocher de l'avenir
77,2021-03-09,30 points,Pour lesquels je vivais
77,2021-04-03,50 points,Ses doutes et les poser dans d’autres mains
77,2021-04-05,30 points,L'on oublie ses souvenirs
77,2021-08-12,40 points,Il faut aussi dire ses doutes
77,2022-01-20,40 points,Je t'aime seulement te garder
77,2022-04-16,10 points,La trace
78,2019-11-09,30 points,Les esprits me hantent
78,2020-04-15,30 points,Les esprits me hantent
78,2021-08-31,1000 €,Pierres précieuses
78,2021-12-01,1000 €,de cristal
78,2021-12-01,2000 €,comme le temps passe
78,2021-12-01,5000 €,tombée sous le feu des blindés
78,2021-12-01,10000 €,mes terres comme une pauvre mendiante sous les bulldozers
78,2021-12-01,20000 €,ma beauté en ruine sous les pierres encore fumantes c'est mon âme qu'on assassine
79,2020-06-01,1000 €,Mon corps
79,2020-12-10,1000 €,D'or
79,2020-12-10,2000 €,Bal fragile cœur immobile
79,2020-12-10,5000 €,Je tente le tout pour la vie
79,2020-12-10,10000 €,Je vis pour la musique c'est le décor
79,2020-12-10,20000 €,Toujours plus fort dedans je compte les accords je sais qu'il m'en reste encore
80,2020-08-17,1000 €,Les nuages
80,2020-10-22,1000 €,Ma fête
80,2020-10-22,2000 €,Cigarettes sur la plage
80,2020-10-22,5000 €,Je prends l'eau des matelots
80,2020-10-22,10000 €,Ma plage j'me tiens plus qu'à un fil
80,2021-02-20,30 points,Mon père mon rodéo
81,2022-10-03,30 points,Rien de plus beau
82,2020-01-04,40 points,De la limande et du flétan
85,2020-04-04,20 points,L'ai adorée
85,2020-08-18,1000 €,bras tendus
86,2017-05-04,1000 €,d'elle
86,2018-08-07,1000 €,La foi
86,2020-07-13,1000 €,La foi
86,2020-09-26,1000 €,Joies exceptionnelles
86,2020-09-26,2000 €,D'elle s'élèvent
86,2020-09-26,5000 €,Elle n'a plus de repères
86,2020-09-26,10000 €,Dans un seul sens oublie même qu'elle a donné naissance
86,2020-09-26,20000 €,Tout s'écroule sous ses pas jamais le bonheur ne l'a entourée de ses bras
87,2015-01-13,1000 €,est fini
87,2015-01-13,2000 €,prié de l'embrasser
87,2015-01-13,5000 €,il habite tout près de Sarcelles
87,2015-01-13,10000 €,avec Carine car elle ne m'a rien demandé
87,2015-06-22,20 points,On est allés
87,2015-10-19,40 points,Avec Monique au cinéma on est allés
87,2018-07-13,40 points,Avec Monique au cinéma on est allés
87,2019-06-04,20 points,De l'embrasser
87,2019-07-08,10 points,Pas fait
87,2019-11-09,20 points,De l'embrasser
87,2020-04-15,20 points,De l'embrasser
87,2020-07-21,50 points,Sorti avec Monique au cinéma on est allés
87,2020-10-01,20 points,Pas fait prier
87,2020-11-04,20 points,Près de Sarcelles
87,2021-06-28,40 points,Je ne me suis pas fait prier
87,2022-04-16,10 points,L'embrasser
88,2014-02-07,20 points,Dans ma mémoire
88,2017-06-26,40 points,Je veux devenir roi des marécages
88,2018-03-19,20 points,De ma cage
88,2018-07-30,1000 €,retrouver maman
88,2018-07-30,2000 €,du soleil dans ma mémoire
88,2018-07-30,5000 €,de lune m'échapper de la citadelle
88,2018-07-30,10000 €,de ma cage un Père-Noël pour Cendrillon sans escarpins
88,2019-10-16,50 points,Au clair de lune m'échapper de la citadelle
88,2020-05-15,40 points,Un père noël pour Cendrillon sans escarpins
88,2020-11-08,10 points,Des marécages
88,2020-11-21,50 points,Restés des mômes bien au fond de nos abris
88,2020-12-09,50 points,Mon sourire d'enfant perdu dans le tourbillon
88,2020-12-23,20 points,De ma cage
88,2021-01-20,50 points,Au clair de lune m’échapper d’la citadelle
88,2021-05-26,30 points,Pour Cendrillon sans escarpins
88,2021-06-10,50 points,Dans le tourbillon dans le tourbillon de la vie
88,2021-12-16,30 points,Les océans devenir Monte-Cristo
88,2022-01-03,50 points,Des mômes bien au fond de nos abris
89,2015-08-28,20 points,Rien ne change
89,2017-06-15,1000 €,Manque toi
89,2017-06-15,2000 €,Partout tu me suis
89,2017-06-15,5000 €,Dans mon cœur rien ne change
89,2017-06-15,10000 €,Ta flamme à ma nuit c’est pas du jeu
89,2018-03-15,20 points,Là mon ange
89,2018-04-28,1000 €,Manque toi
89,2018-04-28,2000 €,Partout tu me suis
89,2018-08-25,1000 €,Mon ami
89,2020-11-23,30 points,Toujours là mon ange
89,2021-01-01,1000 €,Manque toi
89,2021-01-01,2000 €,M'as laissé seul ici
89,2022-04-16,20 points,Rien ne change
92,2016-03-08,10 points,Du doigt
92,2018-02-19,20 points,Montre du doigt
92,2019-08-08,20 points,Dirige tes pas
92,2020-02-21,50 points,Est revenu de tout que c'est pareil partout
92,2020-10-22,20 points,Ta propre cage
92,2022-01-01,40 points,Posséder enfermer toutes ces images volages
93,2016-04-01,10 points,Le paradis
93,2020-12-11,30 points,Garçons qui fixent l'horizon
93,2021-03-11,40 points,Qui tournent le dos à leur mère
93,2021-06-15,1000 €,Aux bateaux
93,2021-06-15,2000 €,C'est le paradis
93,2021-06-15,5000 €,Qui tournent le dos à leur mère
93,2021-06-15,10000 €,Y a des petits garçons qui fixent l'horizon
93,2021-06-15,20000 €,Pourquoi pas eux d'abord ils sauront être forts et dans leur cœur pas de remords
93,2021-09-10,1000 €,les coins
96,2021-08-24,1000 €,Gagner gros
96,2022-07-03,20 points,Prends le mien
97,2016-02-18,10 points,L'eau
97,2016-11-17,40 points,De monde meilleur on ne parle plus
97,2018-04-26,40 points,Parle plus tout juste sauver celui-là
